M/N/K,Performance(M),Performance(N),Performance(K),Performance(M)max,Performance(N)max,Performance(K)max
1152,92.968912,92.221026,109.031311,106.966675,102.860893,122.746674
1160,,87.304360,,,94.000511,
1168,,85.887956,117.263530,,92.536255,138.633881
1176,,85.758389,,,92.258820,
1184,112.715378,93.068620,116.995322,124.159241,101.636864,133.670914
1192,,88.501121,,,95.083412,
1200,,87.474267,119.943958,,93.395821,135.314728
1208,,85.032591,,,91.635948,
1216,115.493791,89.688898,114.730296,126.633286,99.477661,129.121811
1224,,84.167323,,,92.746628,
1232,,81.539036,123.446895,,90.032562,140.563614
1240,,83.317938,,,90.039536,
1248,121.838108,88.274994,120.506528,174.442154,102.340912,136.706543
1256,,84.283545,,,90.336349,
1264,,81.025729,120.290652,,88.118149,138.063431
1272,,84.623076,,,91.308426,
1280,91.446450,89.403286,101.927037,116.694046,103.487778,114.448250
1288,,83.754860,,,87.182961,
1296,,84.365871,113.616868,,89.579170,138.399490
1304,,83.679923,,,89.238899,
1312,119.407289,90.942957,108.104796,133.651703,101.703178,124.367752
1320,,81.597160,,,87.790741,
1328,,84.244264,110.144093,,88.295105,123.498596
1336,,84.868259,,,90.436859,
1344,117.692392,89.813240,107.986386,132.665329,99.642647,116.821655
1352,,83.473622,,,86.741692,
1360,,84.319427,112.319869,,89.455757,122.338936
1368,,81.633719,,,87.941376,
1376,121.233169,91.209863,108.117845,132.004837,101.452385,119.229843
1384,,82.255321,,,92.903809,
1392,,81.544113,113.578426,,86.190895,124.031029
1400,,80.489724,,,87.267563,
1408,100.673917,91.396678,110.664988,120.591125,99.626091,125.932655
1416,,79.637483,,,83.734283,
1424,,79.241672,112.390784,,86.571205,127.202118
1432,,80.810172,,,84.549538,
1440,118.057337,91.829185,113.714145,129.680222,101.943626,127.588310
1448,,78.767436,,,87.080345,
1456,,80.187434,117.639514,,83.939240,131.691040
1464,,81.225263,,,88.509842,
1472,122.581938,91.021715,106.289225,130.680847,100.212883,118.644989
1480,,78.777202,,,86.420029,
1488,,81.437198,120.352740,,88.031075,133.600800
1496,,81.387786,,,87.012619,
1504,121.791318,93.743678,116.912290,130.998474,104.429436,124.922218
1512,,78.910552,,,83.515869,
1520,,79.536365,115.811869,,83.488907,138.198883
1528,,78.287272,,,88.566750,
1536,89.433289,92.381706,93.194415,105.559181,103.313568,108.952881
1544,,79.681545,,,91.461472,
1552,,78.213625,94.095112,,83.576561,108.236969
1560,,80.005148,,,86.195580,
1568,124.024188,94.391795,93.767329,133.148041,102.774490,98.258499
1576,,79.212363,,,83.334442,
1584,,78.168702,95.371901,,83.249321,103.828415
1592,,78.949486,,,83.781700,
1600,124.680622,93.012037,92.985299,136.514618,102.118408,100.339951
1608,,78.020233,,,85.598778,
1616,,78.516670,94.397364,,83.214058,103.263893
1624,,81.154415,,,86.197868,
1632,122.553593,92.578555,96.536105,130.653183,103.450325,106.208824
1640,,77.512007,,,83.971893,
1648,,78.395177,99.775231,,89.935211,109.434143
1656,,78.250400,,,85.496422,
1664,103.773994,93.624319,94.515979,113.944519,100.550125,104.911674
1672,,78.786380,,,84.497803,
1680,,77.411019,102.980470,,85.282692,111.635277
1688,,79.255704,,,85.443207,
1696,123.613362,91.826703,98.647634,134.860443,108.650223,111.169556
1704,,78.310013,,,81.644081,
1712,,78.791481,96.045639,,83.495972,107.838165
1720,,78.708034,,,82.713783,
1728,125.090472,92.281845,95.931868,132.162903,99.278191,110.621918
1736,,79.211760,,,86.733223,
1744,,77.743526,95.973022,,81.720177,104.977432
1752,,78.427749,,,85.894135,
1760,123.295100,92.797221,99.357480,133.404602,103.040886,115.372070
1768,,77.589410,,,84.577644,
1776,,77.048687,100.040573,,86.439606,109.788063
1784,,76.915967,,,81.052521,
1792,109.007931,90.402737,82.217568,121.963379,96.640121,87.448799
1800,,78.035199,,,82.051392,
1808,,77.931299,92.522825,,81.781082,105.038177
1816,,78.190024,,,82.177689,
1824,124.721839,89.881307,91.341979,135.989685,99.305969,105.896088
1832,,78.308528,,,85.110382,
1840,,77.381141,92.644875,,83.282181,102.977013
1848,,76.435359,,,79.656616,
1856,124.883949,88.932570,89.827162,134.683350,96.635582,104.283249
1864,,76.591704,,,80.509354,
1872,,77.922298,93.400843,,83.523483,101.232101
1880,,78.296319,,,81.913124,
1888,124.876941,90.924515,90.793413,131.881699,97.873627,115.304459
1896,,77.476533,,,80.804703,
1904,,78.338590,93.257067,,83.634254,103.736282
1912,,78.048967,,,83.607880,
1920,117.001212,88.969443,89.073574,130.049484,95.850517,99.006607
1928,,75.581328,,,80.431709,
1936,,78.994223,94.309771,,86.027878,102.047050
1944,,78.451488,,,81.228149,
1952,127.836231,89.585555,91.674056,136.216309,95.483498,101.445480
1960,,79.388940,,,83.356041,
1968,,79.071573,95.299346,,83.652298,105.214371
1976,,78.844835,,,83.557800,
1984,128.376000,89.037365,91.986038,136.141144,95.112305,100.710258
1992,,78.535868,,,82.764282,
2000,,79.836481,94.018507,,86.514511,103.473129
2008,,79.114490,,,84.740601,
2016,127.747842,89.386874,92.184992,135.041351,97.647446,106.621918
2024,,78.928686,,,82.041534,
2032,,78.825256,100.524362,,82.622177,118.897964
2040,,78.806418,,,81.435394,
2048,88.465784,88.755867,85.157843,94.443062,95.886955,89.893326
2056,,78.873824,,,82.724457,
2064,,79.057647,75.706099,,83.474304,81.801071
2072,,77.956564,,,82.566986,
2080,128.248603,88.423544,76.718290,135.327057,96.079376,90.429405
2088,,78.673165,,,82.455696,
2096,,76.564535,80.768442,,80.840492,105.404106
2104,,78.605967,,,85.461792,
2112,127.024383,90.806885,74.254042,134.485107,97.044197,82.712975
2120,,78.669926,,,82.312737,
2128,,78.806187,78.599682,,84.209816,84.951553
2136,,78.448277,,,81.253922,
2144,127.232363,88.120874,75.005343,137.511703,96.838448,78.777603
2152,,77.787986,,,86.908028,
2160,,78.294814,79.707064,,80.348900,83.765373
2168,,78.746810,,,86.902962,
2176,113.866847,87.664380,75.609185,126.026405,95.826439,83.042404
2184,,78.066307,,,83.046494,
2192,,77.769467,80.197259,,83.708344,83.506332
2200,,80.854732,,,84.581535,
2208,129.859985,89.309519,76.298663,136.475586,95.773163,83.352264
2216,,77.252893,,,83.188995,
2224,,79.496781,81.993493,,84.384399,104.124466
2232,,77.483521,,,81.713791,
2240,130.053989,86.986762,77.324617,136.382599,91.676018,87.490204
2248,,77.483352,,,81.195381,
2256,,78.556173,83.046075,,84.206062,90.896248
2264,,78.080068,,,84.116447,
2272,129.154281,85.830071,79.058298,137.388199,90.815674,91.200722
2280,,78.832478,,,84.776245,
2288,,77.892665,85.310262,,82.908699,113.429214
2296,,78.450439,,,82.517754,
2304,110.349187,85.385385,70.833558,122.538101,90.243202,73.242149
2312,,77.320411,,,87.640785,
2320,,77.335734,76.759270,,82.307808,86.121201
2328,,75.360636,,,81.218132,
2336,129.970926,85.383991,73.321782,136.627991,91.271545,80.057594
2344,,79.699466,,,83.903061,
2352,,78.931638,76.740792,,84.253654,84.170982
2360,,77.750520,,,81.896744,
2368,130.651180,85.473808,75.089654,139.335999,95.618156,83.436317
2376,,78.255685,,,81.110954,
2384,,77.382610,76.543368,,82.102592,79.638596
2392,,78.056338,,,81.425873,
2400,130.324095,85.443564,73.855019,136.343109,90.392113,79.389038
2408,,76.783981,,,84.877052,
2416,,78.757705,79.081083,,81.775597,85.895988
2424,,78.838714,,,83.810829,
2432,116.200842,85.023331,72.710684,133.778534,88.684464,78.328423
2440,,79.325846,,,83.759537,
2448,,77.770378,77.681119,,83.634964,81.415764
2456,,79.463998,,,82.019814,
2464,131.807270,82.877534,74.808735,140.606476,88.533966,78.203117
2472,,77.302412,,,81.615356,
2480,,78.492059,79.302515,,82.408127,85.591637
2488,,78.262966,,,83.983269,
2496,131.113630,81.983063,75.354132,136.244019,88.780548,81.247833
2504,,78.877824,,,87.230965,
2512,,78.563326,79.731445,,85.115257,83.391968
2520,,76.976597,,,84.472870,
2528,131.858595,82.607634,77.349730,138.142792,87.679680,83.042618
2536,,77.929413,,,81.765190,
2544,,79.644102,80.799692,,91.603561,85.219788
2552,,78.279116,,,81.523537,
2560,100.751255,80.868915,94.449437,107.888962,88.753090,101.251534
2568,,77.150119,,,85.234169,
2576,,79.455507,72.108024,,83.986938,76.583679
2584,,79.298431,,,82.951828,
2592,133.706652,82.533297,71.382018,138.251678,89.583801,75.316200
2600,,78.043737,,,81.646317,
2608,,76.469332,73.072683,,80.363632,76.664818
2616,,78.228874,,,84.403847,
2624,131.953583,81.923440,71.601855,137.088638,88.556305,74.680939
2632,,76.712094,,,81.550812,
2640,,70.879816,72.024887,,80.828812,76.562271
2648,,77.791186,,,82.797508,
2656,131.482867,81.751029,70.968443,137.742798,88.925789,76.093544
2664,,72.369491,,,83.051933,
2672,,75.879633,74.624842,,80.434456,81.026207
2680,,72.870938,,,84.148613,
2688,118.917673,81.415708,73.414965,129.883286,89.038956,95.544395
2696,,77.267819,,,81.062447,
2704,,77.138907,73.347951,,79.578514,78.863220
2712,,78.449852,,,84.000076,
2720,132.454728,79.212249,73.069331,139.102310,85.987938,76.643013
2728,,76.479786,,,84.365044,
2736,,77.757630,73.647603,,82.617668,76.089584
2744,,79.049528,,,82.777664,
2752,129.358515,75.597343,67.449728,138.599487,84.941330,73.788368
2760,,76.547625,,,83.136688,
2768,,79.225108,75.041394,,84.423325,80.718193
2776,,79.357187,,,85.180504,
2784,133.324990,79.825118,72.259701,138.958282,84.745201,74.832382
2792,,77.510760,,,81.754677,
2800,,75.780567,77.145698,,81.534988,81.348381
2808,,78.944910,,,83.682701,
2816,114.780350,81.692787,68.844648,123.535667,87.125191,72.746262
2824,,78.378082,,,83.306625,
2832,,79.894882,74.796336,,85.883003,79.302040
2840,,78.995990,,,84.254150,
2848,134.269797,79.016175,70.505027,140.628510,85.649200,73.468880
2856,,79.546143,,,92.107422,
2864,,78.584527,75.150497,,81.771027,77.579338
2872,,78.980851,,,81.009689,
2880,133.551661,78.662918,69.740199,138.546997,85.342613,73.189987
2888,,80.301454,,,90.757095,
2896,,77.685928,71.465217,,81.212250,76.945549
2904,,79.171769,,,84.585442,
2912,133.802206,80.293707,73.093536,141.209183,85.564224,77.229919
2920,,77.935025,,,84.698357,
2928,,78.084076,75.561248,,82.709953,77.993965
2936,,78.207474,,,83.616112,
2944,121.929286,79.422538,71.616657,131.158691,84.123459,74.715797
2952,,78.372446,,,86.273705,
2960,,78.383597,74.571610,,84.839783,77.539864
2968,,77.480447,,,82.269012,
