xxx 8 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128 136 144 152 160 168 176 184 192 200 208 216 224 232 240 248 256
8 3.601576 5.820827 7.137547 8.050314 8.707483 9.400245 8.205129 10.481065 16.101820 15.351812 16.980869 12.770627 17.915222 13.520262 20.098307 14.613957 19.200001 19.404316 19.817747 18.352716 18.934912 21.111111 22.604601 16.165018 21.376961 9.981985 10.906539 23.406950 22.977917 25.217073 25.168026 19.125887
16 3.711221 5.470086 7.281001 10.011732 10.912191 9.389901 11.316346 15.161386 17.551218 11.586040 20.476551 22.091820 23.605867 24.793097 25.513475 17.743891 21.863356 4.614618 25.867546 26.614300 27.718601 28.092873 28.653427 22.035723 11.622993 14.338845 22.225248 22.033899 22.230961 13.747564 27.638191 21.393503
24 6.548431 8.445128 11.769514 14.880837 16.753927 19.006765 19.866962 17.872934 17.774874 22.931458 25.720934 26.079868 28.957197 29.583975 27.138645 19.568127 12.888002 12.763212 28.813993 30.960808 30.113178 33.213459 33.996185 13.178894 21.938763 20.814362 24.596218 26.077417 21.769173 25.006029 23.579849 19.171242
32 8.457218 11.171721 16.006670 15.967566 22.000687 23.479057 26.690498 27.901909 36.436703 36.132675 30.324661 31.388416 29.059462 49.407845 51.066780 30.354231 42.151482 44.093212 30.105505 44.156967 45.586678 49.405788 50.577511 39.236221 27.032736 30.195799 30.305704 16.668127 25.060951 29.335993 26.960268 16.824810
40 5.901881 10.126582 14.819388 11.538808 18.713451 16.112789 20.546688 23.069298 30.075186 24.690300 26.624628 28.121979 17.836761 28.266281 36.313400 25.669306 39.297409 44.581028 40.828232 48.550236 48.532547 29.880085 43.708191 35.919743 29.983747 33.600739 43.340858 43.664227 44.628056 35.070629 17.643932 40.982948
48 9.566517 16.392742 15.658556 17.927172 21.478912 22.453953 24.131432 21.299313 30.714220 31.026125 28.126446 29.869322 31.624771 32.281239 34.233887 24.375149 26.420366 25.318027 26.530331 26.509167 26.077381 30.028400 29.458860 23.302151 12.662010 28.016520 18.698263 28.597618 11.735670 25.246548 27.597023 22.330450
56 8.411566 12.977983 16.314640 19.766159 14.082072 22.706539 23.229630 23.934820 28.506195 28.112253 27.272436 26.368450 29.257370 33.449856 35.081028 24.044008 26.429260 28.290707 28.963020 29.237518 30.774942 31.554560 30.794176 24.853794 26.538361 16.837168 17.348124 30.189854 31.277910 40.937473 25.686466 30.193768
64 10.831394 15.863672 17.314846 18.880796 21.884083 21.682665 22.572113 23.856951 16.887197 28.203323 33.139156 34.600441 36.409195 37.801193 38.251152 27.559292 19.182562 29.457155 30.185627 28.258238 29.572275 29.373312 18.293922 14.879576 25.145584 26.045376 22.268845 37.714252 38.007729 39.454308 35.261707 33.333336
72 11.439920 15.458937 18.679062 21.305714 14.218712 20.165712 20.148918 20.717562 24.485510 23.398781 23.377623 25.262049 25.706635 28.068933 29.741379 28.773924 19.597492 32.551567 30.760780 32.298561 33.555336 34.106739 31.533733 27.307207 27.403006 24.915005 27.584654 29.152351 30.755281 29.680807 24.286283 23.649872
80 9.661836 15.367990 17.779423 22.442360 24.735256 25.333157 25.605852 27.422205 31.383408 30.773342 24.340446 24.988287 26.643408 34.933628 24.156887 25.764248 26.053488 27.645088 28.381014 29.026407 27.519842 29.091257 28.334978 25.471369 24.340267 26.917223 21.742607 20.705275 23.548035 22.048128 18.738955 20.530506
88 8.855346 14.046289 15.824966 16.393061 17.779573 20.808907 23.646833 26.320215 24.623995 26.419264 33.089252 27.681660 28.996197 28.683075 30.996593 22.313787 29.700464 30.929461 33.523811 33.760040 34.921104 26.209721 34.415073 27.810059 13.718830 19.674807 20.349358 22.859426 20.456814 16.602396 23.030621 23.845463
96 12.441277 18.377602 21.953312 13.743736 13.046137 18.238670 19.008556 25.783709 36.823105 35.901829 30.161846 42.865517 28.545132 25.973066 44.489220 18.190163 32.183674 33.683777 29.980257 34.808445 30.722990 29.780807 33.900375 25.375149 26.065815 20.752605 25.657520 23.325739 28.022444 24.935965 25.092823 24.998730
104 8.564958 17.016054 19.610308 19.901926 19.626345 15.670149 21.838089 20.987576 24.365204 30.509716 29.501894 32.704403 33.565144 31.824741 31.391075 20.190500 22.539282 23.771429 28.494267 31.772570 32.140320 34.961464 40.061733 29.982433 13.255083 26.227358 20.678061 34.325951 29.016062 30.840197 37.301281 36.037304
112 14.741692 22.123457 22.580645 24.814789 24.119738 24.960535 25.739729 26.129114 28.217337 28.403866 31.128178 30.584902 32.799347 21.004400 36.279137 30.379316 25.845024 33.887672 22.107393 35.435642 28.295622 30.170488 32.668324 29.071638 25.582249 23.387539 20.646187 25.930256 31.510147 25.889164 25.431559 32.808121
120 12.713549 17.600145 20.450188 19.239441 23.235550 24.219999 20.836563 23.009857 25.024628 27.391615 28.655815 29.445595 16.612282 28.691753 32.964081 21.326817 13.569196 18.000927 21.959349 20.976475 23.448021 27.398289 40.321365 34.839939 33.536282 27.488575 33.885635 14.312829 22.107992 29.570644 23.455721 29.196526
