xxx 8 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128 136 144 152 160 168 176 184 192 200 208 216 224 232 240 248 256
8 1.516588 3.517450 7.940446 6.047720 8.761789 6.485391 16.879692 8.887346 19.127989 13.570823 21.719458 15.286625 19.056694 16.144144 25.438599 16.110762 24.563852 14.382471 19.483297 14.909726 19.750113 14.373213 20.193521 16.354345 19.188644 12.803939 20.530201 15.247170 11.105700 18.273533 13.326961 16.978941
16 5.912240 7.509533 14.935822 12.064091 21.341238 12.774451 26.581469 17.824196 18.794266 20.081581 26.714369 15.392324 29.181105 22.242220 34.543083 25.434675 35.350239 25.313118 35.491608 27.456028 24.738380 29.382303 36.458580 31.146711 37.710438 31.713360 35.566742 32.670921 26.022757 23.517883 26.898167 23.665356
24 4.804805 7.410266 15.823306 12.734206 19.663177 12.171157 21.923584 15.109187 19.336493 15.471395 16.883009 16.310349 20.174849 17.058002 20.850809 17.870855 22.153845 19.459459 22.176437 19.666086 22.427351 29.803148 32.475098 29.052391 34.030239 29.854673 34.694851 24.873919 25.317511 24.895189 25.869724 12.142773
32 4.863222 8.782161 15.782984 11.846367 20.152191 15.867768 17.060543 13.791245 17.401039 13.047910 19.213724 16.296219 19.321337 17.095974 19.375717 17.472912 19.679922 21.914682 22.733164 21.678381 22.818880 22.293472 20.213009 25.817295 29.103733 26.332239 29.085297 23.135454 23.427414 22.963074 20.325657 19.360479
40 3.255672 8.777946 17.064848 13.325006 19.742254 15.607219 20.342299 16.893229 27.611410 22.544737 28.402367 24.117573 28.687202 24.854370 22.263807 20.040707 22.501598 20.812256 21.657217 19.317839 21.650166 19.552296 21.660650 19.828566 29.941378 27.927896 29.779985 28.037676 29.475454 32.052353 34.575600 32.482155
48 8.089319 13.600142 23.593021 12.933647 22.545870 18.567169 23.937855 20.480000 25.107693 21.333334 25.305969 18.520901 21.106323 18.921583 18.003979 26.204895 29.344200 27.298578 29.666752 27.762716 26.974609 25.310083 17.028994 20.593493 32.016335 29.922676 32.303734 29.397932 32.372952 23.339682 24.413223 23.534819
56 6.980368 10.543657 17.245361 14.134722 18.174442 14.943295 21.776848 18.504751 22.333000 19.054100 22.614298 17.452845 19.638786 20.000639 24.501188 22.973070 25.466824 23.503351 19.734039 17.681303 19.779675 18.586407 28.193438 26.470371 27.870956 26.304140 25.780952 22.777454 25.156885 18.386276 19.454966 18.848774
64 6.278357 15.686275 27.147404 21.375639 29.444090 24.402256 31.219513 17.400169 18.553492 16.030056 20.591784 18.615925 26.385223 23.646620 25.684584 24.223787 21.061029 19.370296 25.953175 23.881153 27.850082 26.443798 28.216276 26.519909 22.258894 20.866512 15.728097 19.404440 19.457556 25.380039 26.949926 27.433777
72 9.171974 14.712644 23.721275 18.908495 24.404482 21.519638 20.845165 19.807428 22.988073 20.413950 23.305460 20.728123 18.562202 16.851608 21.030102 19.695253 20.944300 16.951426 29.343246 27.352375 29.296976 27.407806 29.548901 22.375450 20.967861 20.006413 34.412090 32.279888 30.749058 42.819973 38.397903 24.813547
80 9.873496 19.750040 23.301537 12.699042 40.909092 34.387035 39.662487 37.869823 43.479996 38.036373 44.834373 39.933441 21.648537 29.547554 32.012695 30.041658 32.903858 27.496000 29.014986 26.952475 28.610992 27.749310 23.597273 15.974541 28.906424 27.194876 25.891548 36.177902 33.799683 30.624941 24.719500 28.636547
88 8.930610 16.209993 23.014433 19.701952 27.204809 20.791494 25.120083 25.445017 30.019817 26.955622 29.617163 24.338808 26.921194 24.038439 25.443352 16.088442 28.550011 33.920444 36.456772 32.629604 29.502735 17.616014 29.612736 27.857283 28.209740 30.290594 28.547821 29.755760 27.218712 29.157982 22.260927 24.268539
